      C01      C02      C03      C04      C05      C06      C07      C08      C09      C10      C11      C12      C13      C14      C31      C32      C33      C34                                                                                                                                                                                                                                              
  46.1321  41.2482  55.8494  30.3598  20.6270        0  71.4379  80.2843        0  81.1405        0        0  53.0925        0  66.3016  81.4666        0        0                                                                                                                                                                                                                                              
  46.1305  41.2514  55.8506  30.3596  20.6300        0  71.3889  80.2698        0  81.2120        0        0  53.1369        0  66.3726  81.3666        0        0                                                                                                                                                                                                                                              
  46.1290  41.2545  55.8518  30.3594  20.6329        0  71.3393  80.2539        0  81.2830        0        0  53.1810        0  66.4439  81.2660        0        0                                                                                                                                                                                                                                              
  46.1274  41.2577  55.8530  30.3592  20.6358        0  71.2892  80.2368        0  81.3534        0        0  53.2248        0  66.5153  81.1648        0        0                                                                                                                                                                                                                                              
  46.1258  41.2608  55.8542  30.3590  20.6388        0  71.2385  80.2184        0  81.4231        0        0  53.2682        0  66.5870  81.0630        0        0                                                                                                                                                                                                                                              
  46.1243  41.2640  55.8554  30.3588  20.6417        0  71.1872  80.1987        0  81.4922        0        0  53.3113        0  66.6588  80.9605        0        0                                                                                                                                                                                                                                              
  46.1227  41.2671  55.8565  30.3586  20.6446        0  71.1354  80.1779        0  81.5606        0        0  53.3541        0  66.7309  80.8575        0        0                                                                                                                                                                                                                                              
  46.1211  41.2703  55.8577  30.3584  20.6476        0  71.0831  80.1557        0  81.6284        0        0  53.3965        0  66.8031  80.7539        0        0                                                                                                                                                                                                                                              
  46.1195  41.2734  55.8588  30.3582  20.6505        0  71.0302  80.1324        0  81.6954        0        0  53.4386        0  66.8756  80.6498        0        0                                                                                                                                                                                                                                              
  46.1179  41.2766  55.8600  30.3580  20.6534        0  70.9767  80.1079        0  81.7616        0        0  53.4804        0  66.9482  80.5451        0        0                                                                                                                                                                                                                                              
  46.1163  41.2798  55.8611  30.3578  20.6564        0  70.9228  80.0822        0  81.8271        0        0  53.5219        0  67.0211  80.4399        0        0                                                                                                                                                                                                                                              
  46.1147  41.2829  55.8622  30.3576  20.6593        0  70.8683  80.0553        0  81.8918        0        0  53.5630        0  67.0941  80.3341        0        0                                                                                                                                                                                                                                              
  46.1131  41.2861  55.8633  30.3574  20.6622        0  70.8132  80.0273        0  81.9557        0        0  53.6038        0  67.1674  80.2279        0        0                                                                                                                                                                                                                                              
  46.1115  41.2892  55.8645  30.3572  20.6652        0  70.7576  79.9981        0  82.0188        0        0  53.6443        0  67.2408  80.1212        0        0                                                                                                                                                                                                                                              
  46.1099  41.2924  55.8656  30.3570  20.6681        0  70.7015  79.9678        0  82.0810        0        0  53.6844        0  67.3144  80.0140        0        0                                                                                                                                                                                                                                              
  46.1082  41.2956  55.8667  30.3567  20.6711        0  70.6449  79.9364        0  82.1423        0        0  53.7242        0  67.3883  79.9064        0        0                                                                                                                                                                                                                                              
  46.1066  41.2987  55.8677  30.3565  20.6740        0  70.5878  79.9039        0  82.2026        0        0  53.7637        0  67.4623  79.7983        0        0                                                                                                                                                                                                                                              
  46.1050  41.3019  55.8688  30.3563  20.6770        0  70.5301  79.8703        0  82.2620        0        0  53.8028        0  67.5365  79.6898        0        0                                                                                                                                                                                                                                              
  46.1033  41.3050  55.8699  30.3561  20.6799        0  70.4719  79.8357        0  82.3205        0        0  53.8416        0  67.6109  79.5809        0        0                                                                                                                                                                                                                                              
  46.1017  41.3082  55.8710  30.3558  20.6828        0  70.4132  79.8000        0  82.3779        0        0  53.8801        0  67.6856  79.4715        0        0                                                                                                                                                                                                                                              
  46.1000  41.3114  55.8720  30.3556  20.6858        0  70.3540  79.7633        0  82.4343        0        0  53.9182        0  67.7604  79.3618        0        0                                                                                                                                                                                                                                              
  46.0984  41.3145  55.8731  30.3554  20.6887        0  70.2943  79.7256        0  82.4896        0        0  53.9560        0  67.8354  79.2516        0        0                                                                                                                                                                                                                                              
  46.0967  41.3177  55.8741  30.3551  20.6917        0  70.2341  79.6869        0  82.5438        0        0  53.9935        0  67.9106  79.1411        0        0                                                                                                                                                                                                                                              
  46.0951  41.3209  55.8752  30.3549  20.6946        0  70.1734  79.6472        0  82.5969        0        0  54.0306        0  67.9860  79.0301        0        0                                                                                                                                                                                                                                              
  46.0934  41.3241  55.8762  30.3546  20.6976        0  70.1122  79.6065        0  82.6488        0        0  54.0674        0  68.0615  78.9189        0        0                                                                                                                                                                                                                                              
  46.0917  41.3272  55.8772  30.3544  20.7005        0  70.0505  79.5649        0  82.6996        0        0  54.1039        0  68.1373  78.8072        0        0                                                                                                                                                                                                                                              
  46.0900  41.3304  55.8783  30.3541  20.7035        0  69.9883  79.5224        0  82.7491        0        0  54.1400        0  68.2133  78.6952        0        0                                                                                                                                                                                                                                              
  46.0883  41.3336  55.8793  30.3539  20.7064        0  69.9256  79.4789        0  82.7973        0        0  54.1758        0  68.2894  78.5829        0        0                                                                                                                                                                                                                                              
  46.0866  41.3367  55.8803  30.3536  20.7094        0  69.8624  79.4346        0  82.8443        0        0  54.2113        0  68.3658  78.4702        0        0                                                                                                                                                                                                                                              
  46.0849  41.3399  55.8813  30.3533  20.7123        0  69.7988  79.3894        0  82.8900        0        0  54.2464        0  68.4423  78.3572        0        0                                                                                                                                                                                                                                              
  46.0832  41.3431  55.8823  30.3531  20.7153        0  69.7346  79.3433        0  82.9343        0        0  54.2812        0  68.5190  78.2438        0        0                                                                                                                                                                                                                                              
  46.0815  41.3463  55.8832  30.3528  20.7182        0  69.6700  79.2963        0  82.9772        0        0  54.3156        0  68.5960  78.1302        0        0                                                                                                                                                                                                                                              
  46.0798  41.3494  55.8842  30.3525  20.7212        0  69.6049  79.2486        0  83.0187        0        0  54.3498        0  68.6731  78.0162        0        0                                                                                                                                                                                                                                              
  46.0781  41.3526  55.8852  30.3523  20.7241        0  69.5393  79.2000        0  83.0587        0        0  54.3836        0  68.7503  77.9020        0        0                                                                                                                                                                                                                                              
  46.0764  41.3558  55.8861  30.3520  20.7271        0  69.4733  79.1506        0  83.0973        0        0  54.4170        0  68.8278  77.7874        0        0                                                                                                                                                                                                                                              
  46.0746  41.3590  55.8871  30.3517  20.7300        0  69.4068  79.1005        0  83.1343        0        0  54.4501        0  68.9055  77.6726        0        0                                                                                                                                                                                                                                              
  46.0729  41.3621  55.8880  30.3514  20.7330        0  69.3399  79.0495        0  83.1698        0        0  54.4829        0  68.9833  77.5575        0        0                                                                                                                                                                                                                                              
  46.0712  41.3653  55.8890  30.3511  20.7360        0  69.2725  78.9979        0  83.2037        0        0  54.5154        0  69.0614  77.4421        0        0                                                                                                                                                                                                                                              
  46.0694  41.3685  55.8899  30.3508  20.7389        0  69.2046  78.9455        0  83.2360        0        0  54.5475        0  69.1396  77.3264        0        0                                                                                                                                                                                                                                              
  46.0677  41.3717  55.8908  30.3505  20.7419        0  69.1363  78.8923        0  83.2667        0        0  54.5793        0  69.2180  77.2105        0        0                                                                                                                                                                                                                                              
  46.0659  41.3748  55.8918  30.3503  20.7448        0  69.0675  78.8385        0  83.2957        0        0  54.6107        0  69.2965  77.0943        0        0                                                                                                                                                                                                                                              
